timezone,no_accents,macroregion,uf_code,nomes,idade,cidade,cpf,cnpj,isvalid_cpf,isvalid_cnpj
America/Rio_Branco,Acre,Norte,AC,Dennis Daniels,31,ACRELÂNDIA,97566536800,6589184909526,True,True
America/Rio_Branco,Acre,Norte,AC,John Gutierrez,75,ACRELÂNDIA,48579786444,51477910241483,True,True
America/Rio_Branco,Acre,Norte,AC,Abigail Bradley,41,ACRELÂNDIA,14120370852,75214984462157,True,True
America/Rio_Branco,Acre,Norte,AC,Micheal Rhodes,64,ACRELÂNDIA,1027123015,1567761068587,True,True
America/Rio_Branco,Acre,Norte,AC,Peter Munoz,49,ACRELÂNDIA,53949179224,12276654408988,True,True
America/Rio_Branco,Acre,Norte,AC,Crystal Trevino,66,ACRELÂNDIA,9108571996,28098660785980,True,True
America/Rio_Branco,Acre,Norte,AC,Wesley Lee,28,ACRELÂNDIA,79111554452,34205707583747,True,True
America/Rio_Branco,Acre,Norte,AC,Amanda Hobbs,80,ACRELÂNDIA,5055277580,54492254062557,True,True
America/Rio_Branco,Acre,Norte,AC,Alan Juarez,81,ACRELÂNDIA,24323027451,6116849575430,True,True
America/Rio_Branco,Acre,Norte,AC,Jeffrey King,90,ACRELÂNDIA,50066235944,15245381240961,True,True
America/Rio_Branco,Acre,Norte,AC,Kyle Williams,81,ACRELÂNDIA,91581794886,53415639743407,True,True
America/Rio_Branco,Acre,Norte,AC,Vanessa Haynes,32,ACRELÂNDIA,75791090854,64644828102910,True,True
America/Rio_Branco,Acre,Norte,AC,Robert Fisher Md,25,ACRELÂNDIA,55176696975,94065124126208,True,True
America/Rio_Branco,Acre,Norte,AC,Michelle Hernandez,88,ACRELÂNDIA,67677015565,84379015162186,True,True
America/Rio_Branco,Acre,Norte,AC,Mrs. Suzanne Peters,19,ACRELÂNDIA,81433726181,29592536264459,True,True
America/Rio_Branco,Acre,Norte,AC,Noah Wilson,56,ACRELÂNDIA,36419139694,18356772948316,True,True
America/Rio_Branco,Acre,Norte,AC,Michele Medina,23,ACRELÂNDIA,84431177108,75224515148597,True,True
America/Rio_Branco,Acre,Norte,AC,Heidi Marshall,67,ACRELÂNDIA,71654212202,75960525133720,True,True
America/Rio_Branco,Acre,Norte,AC,Kyle Kirby,42,ACRELÂNDIA,63645130853,21844620257978,True,True
America/Rio_Branco,Acre,Norte,AC,Mary Tucker,90,ACRELÂNDIA,33748887477,93320932902724,True,True
America/Rio_Branco,Acre,Norte,AC,Krystal Wiggins,48,ACRELÂNDIA,16054007939,7446064370099,True,True
America/Rio_Branco,Acre,Norte,AC,Steven Smith,89,ACRELÂNDIA,99358566230,36771917784626,True,True
America/Rio_Branco,Acre,Norte,AC,Gary Waller,61,ACRELÂNDIA,3912890714,36377125766266,True,True
America/Rio_Branco,Acre,Norte,AC,Sarah Fields,56,ACRELÂNDIA,34351877006,64638585692607,True,True
America/Rio_Branco,Acre,Norte,AC,Thomas Wilson,48,ACRELÂNDIA,46981857774,48229159887758,True,True
America/Rio_Branco,Acre,Norte,AC,Michael Lane,66,ACRELÂNDIA,56094433505,85133035934472,True,True
America/Rio_Branco,Acre,Norte,AC,Elizabeth Robinson,81,ACRELÂNDIA,98629387904,74301506521908,True,True
America/Rio_Branco,Acre,Norte,AC,Andrew Powers,41,ACRELÂNDIA,69666399822,86252787608020,True,True
America/Rio_Branco,Acre,Norte,AC,Chloe Gonzalez,30,ACRELÂNDIA,59992046236,37097394632464,True,True
America/Rio_Branco,Acre,Norte,AC,Vanessa Blair,28,ACRELÂNDIA,506521680,60317106282612,True,True
America/Rio_Branco,Acre,Norte,AC,Barbara Phelps,48,ACRELÂNDIA,97900142100,92235650772960,True,True
America/Rio_Branco,Acre,Norte,AC,Amy Morgan,75,ACRELÂNDIA,94337120564,64740548007678,True,True
America/Rio_Branco,Acre,Norte,AC,Robin Bennett,22,ACRELÂNDIA,44983565787,42259974439446,True,True
America/Rio_Branco,Acre,Norte,AC,Meredith Strong,86,ACRELÂNDIA,26401157070,2270831193586,True,True
America/Rio_Branco,Acre,Norte,AC,Brian Burns,27,ACRELÂNDIA,95198510467,87696456882453,True,True
America/Rio_Branco,Acre,Norte,AC,Marie Irwin,37,ACRELÂNDIA,33621393374,7059542872615,True,True
America/Rio_Branco,Acre,Norte,AC,Laura Davis,22,ACRELÂNDIA,47809988670,38051807593860,True,True
America/Rio_Branco,Acre,Norte,AC,Wendy Cole,64,ACRELÂNDIA,42253418790,67165477834627,True,True
America/Rio_Branco,Acre,Norte,AC,Jonathan Burns,52,ACRELÂNDIA,18052823870,22553391643706,True,True
America/Rio_Branco,Acre,Norte,AC,Jon Levy,75,ACRELÂNDIA,27743421635,43874897861697,True,True
America/Rio_Branco,Acre,Norte,AC,Carlos Kennedy,19,ACRELÂNDIA,54672655806,78227072098899,True,True
America/Rio_Branco,Acre,Norte,AC,Amanda Rogers,89,ACRELÂNDIA,15530729606,38731934419290,True,True
America/Rio_Branco,Acre,Norte,AC,Kimberly Mueller,21,ACRELÂNDIA,39708372277,10956606870218,True,True
America/Rio_Branco,Acre,Norte,AC,Michael Matthews,40,ACRELÂNDIA,63577850590,42762138423133,True,True
America/Rio_Branco,Acre,Norte,AC,Stephen Jones,24,ACRELÂNDIA,19810829485,45502502217808,True,True
America/Rio_Branco,Acre,Norte,AC,Jeff Zuniga,72,ACRELÂNDIA,1395704201,69307815542600,True,True
America/Rio_Branco,Acre,Norte,AC,Karen Rice,87,ACRELÂNDIA,86267023885,58459912425700,True,True
America/Rio_Branco,Acre,Norte,AC,Kevin Meyer,58,ACRELÂNDIA,62110494638,94286258623970,True,True
America/Rio_Branco,Acre,Norte,AC,Sheena Rice,58,ACRELÂNDIA,99381243808,76692806721213,True,True
America/Rio_Branco,Acre,Norte,AC,Elizabeth Gamble,88,ACRELÂNDIA,12865827178,21050396396390,True,True
America/Rio_Branco,Acre,Norte,AC,Maria Alvarado,55,ACRELÂNDIA,48711623110,52699547228733,True,True
America/Rio_Branco,Acre,Norte,AC,Patrick Flores,90,ACRELÂNDIA,19818112229,7494502401909,True,True
America/Rio_Branco,Acre,Norte,AC,Alicia Anderson,87,ACRELÂNDIA,52218429047,13815220893659,True,True
America/Rio_Branco,Acre,Norte,AC,Grace Wilkinson,58,ACRELÂNDIA,90229124933,80048914227530,True,True
America/Rio_Branco,Acre,Norte,AC,Larry Lee,53,ACRELÂNDIA,9668342755,66339841428322,True,True
America/Rio_Branco,Acre,Norte,AC,Dustin Rodriguez,35,ACRELÂNDIA,74491446970,82335425652458,True,True
America/Rio_Branco,Acre,Norte,AC,Mark Johnson,57,ACRELÂNDIA,80966903889,36144804937014,True,True
America/Rio_Branco,Acre,Norte,AC,Donna Campbell,89,ACRELÂNDIA,79752943306,71621029791322,True,True
America/Rio_Branco,Acre,Norte,AC,Diana Thomas,24,ACRELÂNDIA,75416326190,98918877076221,True,True
America/Rio_Branco,Acre,Norte,AC,Sarah Robbins,38,ACRELÂNDIA,53183441004,20986877929851,True,True
America/Rio_Branco,Acre,Norte,AC,Mason Austin,74,ACRELÂNDIA,5435419913,28874881892901,True,True
America/Rio_Branco,Acre,Norte,AC,Jennifer Davis,69,ACRELÂNDIA,97294061114,37375935447906,True,True
America/Rio_Branco,Acre,Norte,AC,Francisco Garcia,63,ACRELÂNDIA,42699085561,83710147709991,True,True
America/Rio_Branco,Acre,Norte,AC,Stephanie Wilson,72,ACRELÂNDIA,5722760102,35935813874638,True,True
America/Rio_Branco,Acre,Norte,AC,Megan Stewart,35,ACRELÂNDIA,33599818207,70162042681977,True,True
America/Rio_Branco,Acre,Norte,AC,Darren Patel,29,ACRELÂNDIA,90156126761,99199752734747,True,True
America/Rio_Branco,Acre,Norte,AC,Jill Cannon,36,ACRELÂNDIA,77412661795,60263364656415,True,True
