timezone,no_accents,macroregion,uf_code,document,name,job,jobArea,jobType,phoneNumber,birthDate,city,totalSpent,PESSOA,Ano
America/Rio_Branco,Acre,Norte,AC,11838650422200,Nagao Costa Neto,Desenvolvedor Garantia Dinâmico,Fatores,Designer,17477553147.0,1990-01-02,,364.67,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,77554798545,Srta. Elete Melo,Coordenador Usabilidade Corporativo,Paradigma,Orquestrador,35980362137.0,1990-01-14,Edith do Norte,671.0,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,25581264902,Sra. Andrey Carvalho,Especialista Fatores Dinâmico,Intranet,Coordenador,2318764066.0,1990-01-05,Macedo de Nossa Senhora,777.23,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,88895661672,Veruska Costa Filho,Executivo Criativo Global,Garantia,Agente,,1990-01-30,Ieda do Descoberto,839.62,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,24312317230399,Judith Santos Jr.,,Táticas,Oficial,553785716709.0,1990-01-21,Ronaldo de Nossa Senhora,103.31,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,30601883520079,Lucimara Moraes,,Branding,,87628184541.0,1990-01-01,Crispim do Norte,951.07,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,87732017315,Srta. Patrícia Moreira,,Comunicações,Analista,35995454183.0,1990-01-21,,359.08,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,25865755714,Sra. Fatima Saraiva,Representante Táticas Produtos,Garantia,Estrategista,5204412662.0,1990-01-29,Município de Etrus do Sul,,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,56612826862559,Ryoji Santos,Desenvolvedor Diretivas Corporativo,Identidade,Coordenador,6871795343.0,1990-01-31,Vila Delfim,22.04,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,74617789197,Edileuza Filho,Diretor Intranet Chefe,Garantia,Arquiteto,4498375112.0,1990-01-09,,866.93,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,22148693875,Srta. Elenilza Batista Neto,Supervisor Intranet Global,Marca,Consultor,98663830594.0,1990-01-08,Município de Giuma,799.83,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,29884107718,Graziela Martins Filho Filho,Facilitador Otimização Regional,Marketing,Designer,60293970370.0,1990-01-07,Velha Fabrisa de Nossa Senhora,492.7,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,74828544011,Adirson Franco Filho,Oficial A infraestrutura Dinâmico,Otimização,Técnico,66896576295.0,1990-01-20,,267.7,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,76629815173,Kepler Santos,Produtor Resposta Produtos,Qualidade,Arquiteto,2968252856.0,1990-01-03,Imad do Norte,369.5,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,31112715797,Dr. Elisangela,Supervisor Intranet Nacional,Garantia,Arquiteto,557186594774.0,1990-01-29,Velha Flavia,711.39,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,25044941069,Christhianne Costa,Facilitador Contas Investidor,Rede,Diretor,556758635294.0,1990-01-26,Nova Anselmo,318.72,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,80306401582803,Dr. Edjane Albuquerque,Arquiteto Integração Investidor,Usabilidade,Agente,9215159437.0,1990-01-31,Município de Guo,548.2,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,44274122891,Irio Martins,Representante Programa Dinâmico,Prestaçãodecontas,Desenvolvedor,14089648204.0,1990-01-16,Vila Ednalva,302.47,FISICA,1990
