nomes,idade,cidade,estado,cpf,cnpj,isvalid_cpf,isvalid_cnpj
Dennis Daniels,31,ACRELÂNDIA,AC,97566536800,06589184909526,True,True
Leah Becker,42,ÁGUA BRANCA,AL,42526380707,25673336235020,True,True
Sally Ford,18,ALVARÃES,AM,34647754103,26543101702989,True,True
Colleen Duncan,21,SERRA DO NAVIO,AP,25253156003,19062080510098,True,True
Jeff Stephenson,73,ABAÍRA,BA,49668886542,97794530015384,True,True
Sydney Curtis,85,ABAIARA,CE,50620290749,29476298085678,True,True
Kelly Matthews,44,BRASÍLIA,DF,39154836808,24709301957761,True,True
Juan Ruiz,39,AFONSO CLÁUDIO,ES,22688119648,02420338147900,True,True
Brian Thomas,26,ABADIA DE GOIÁS,GO,47475484084,70723419110335,True,True
Sara Ayers,62,AÇAILÂNDIA,MA,94830978864,88253689548382,True,True
Brady Cruz,83,ABADIA DOS DOURADOS,MG,03438452456,13118105069639,True,True
Samantha Wright,32,ÁGUA CLARA,MS,22203654090,04310317320252,True,True
Richard Turner,85,ACORIZAL,MT,79059712285,75595541223248,True,True
Ashley Sanders,73,ABAETETUBA,PA,75206513989,06923815165128,True,True
Thomas Jones,45,ÁGUA BRANCA,PB,34565179806,26574533273304,True,True
Ian Murray,68,ABREU E LIMA,PE,15277717099,85202887368851,True,True
Janice Jensen,79,ACAUÃ,PI,45081993646,89596067898809,True,True
Jeffrey Cunningham,48,ABATIÁ,PR,66549028825,18866688344242,True,True
Amanda Glass,49,ANGRA DOS REIS,RJ,86173803577,87380936406714,True,True
Kaitlyn Johnson,65,ACARI,RN,89737004213,40893546741494,True,True
Daniel Nelson,56,ALTA FLORESTA D'OESTE,RO,21019230681,39414072702140,True,True
Jimmy Neal,47,AMAJARI,RR,85072768490,25910961614308,True,True
Amy Ramirez,59,ACEGUÁ,RS,47660084135,27054334917081,True,True
Mr. Andrew Chapman Md,55,ABDON BATISTA,SC,64597685286,26848890535610,True,True
Ronnie Vazquez,42,AMPARO DE SÃO FRANCISCO,SE,85268818848,10194559328639,True,True
Eric Leonard Dds,48,ADAMANTINA,SP,03802580133,53997444309399,True,True
Cheryl Daniel,81,ABREULÂNDIA,TO,41518337651,16558428654046,True,True
John Gutierrez,75,ACRELÂNDIA,AC,48579786444,51477910241483,True,True
Carla White,26,ÁGUA BRANCA,AL,87007608116,54785062054510,True,True
Scott Clark,86,ALVARÃES,AM,01086471296,22967376001699,True,True
Kelsey Hicks,22,SERRA DO NAVIO,AP,73800120704,54407698631932,True,True
Tanya Boyd,88,ABAÍRA,BA,35813255605,08803153461585,True,True
David Garcia,31,ABAIARA,CE,10210388811,65359727572419,True,True
Michelle Sullivan,45,BRASÍLIA,DF,60338450726,18355115649365,True,True
Paula Wells,55,AFONSO CLÁUDIO,ES,31166242919,41934462986603,True,True
Lisa Fisher,49,ABADIA DE GOIÁS,GO,33626344436,79856843725548,True,True
Kayla Martin,79,AÇAILÂNDIA,MA,49643966062,24202707261295,True,True
Kathryn Johnson,28,ABADIA DOS DOURADOS,MG,14503645510,14740883542900,True,True
Craig Wallace,51,ÁGUA CLARA,MS,72852203456,52726400968055,True,True
Haley Serrano,31,ACORIZAL,MT,00904064000,82175250951962,True,True
Thomas Lindsey,88,ABAETETUBA,PA,13577872004,47759550719238,True,True
Andrew Francis,69,ÁGUA BRANCA,PB,06694239980,52081659158337,True,True
Tiffany Dean,44,ABREU E LIMA,PE,10858476401,92164335193964,True,True
Michael Thompson,76,ACAUÃ,PI,75747818694,18684837331789,True,True
Dalton Summers,50,ABATIÁ,PR,09507015728,08475711599204,True,True
Debra Jennings,58,ANGRA DOS REIS,RJ,54816784896,69500353849608,True,True
Andrew Olson,88,ACARI,RN,99281336383,92393983639915,True,True
Sarah Brown,35,ALTA FLORESTA D'OESTE,RO,17281287224,41420682752383,True,True
Miranda Pittman,37,AMAJARI,RR,71722038012,59659930319931,True,True
Pamela Manning,68,ACEGUÁ,RS,00067814891,63100755162838,True,True
Ann Collins,18,ABDON BATISTA,SC,92848876310,50612600931565,True,True
Kimberly Garcia,60,AMPARO DE SÃO FRANCISCO,SE,52063020906,83818138763026,True,True
Billy Cross,81,ADAMANTINA,SP,25745426659,08698401812890,True,True
Charles Rivera,60,ABREULÂNDIA,TO,86569526502,18767344587421,True,True
Abigail Bradley,41,ACRELÂNDIA,AC,14120370852,75214984462157,True,True
Jared Hernandez,72,ÁGUA BRANCA,AL,51072799707,70268860094409,True,True
Scott Jackson,87,ALVARÃES,AM,79455779978,03183153323626,True,True
Gregory Brown,31,SERRA DO NAVIO,AP,66210964885,34139727088243,True,True
Kelly Jenkins,79,ABAÍRA,BA,63740436506,57302550382603,True,True
Craig Reynolds,82,ABAIARA,CE,44084897434,42490414458532,True,True
Cindy Brown,28,BRASÍLIA,DF,11561438537,89158131394480,True,True
Diana Armstrong,50,AFONSO CLÁUDIO,ES,21054162336,09255575472722,True,True
Travis Morris,35,ABADIA DE GOIÁS,GO,50975942239,96592493662984,True,True
Edwin Martin,44,AÇAILÂNDIA,MA,72655983262,41619731869500,True,True
Linda Vargas Md,62,ABADIA DOS DOURADOS,MG,66562524512,22415824790549,True,True
Brianna Francis,82,ÁGUA CLARA,MS,70450747000,64010620614680,True,True
Deborah Hill,33,ACORIZAL,MT,78461044894,12817923842072,True,True
Lindsey Koch,72,ABAETETUBA,PA,81900740834,31706819238930,True,True
Charles Yates,71,ÁGUA BRANCA,PB,65586683784,78616996600779,True,True
Matthew Martinez,85,ABREU E LIMA,PE,43986854304,21120314419212,True,True
Victor Bradley,77,ACAUÃ,PI,94252857058,47357837297302,True,True
Joshua Carr,25,ABATIÁ,PR,23939707112,05835122020570,True,True
Evan Cochran,68,ANGRA DOS REIS,RJ,70166695564,77938477219769,True,True
John Cline,62,ACARI,RN,48406074604,77536642656200,True,True
Sarah Ellis,20,ALTA FLORESTA D'OESTE,RO,11565659791,27017130239145,True,True
Amy Burnett,20,AMAJARI,RR,05461868665,78896522190996,True,True
Donald Edwards,48,ACEGUÁ,RS,96525798582,74381216820226,True,True
Michael Smith,30,ABDON BATISTA,SC,98860416680,13228968233809,True,True
Jordan Green,32,AMPARO DE SÃO FRANCISCO,SE,74265673627,93322502277502,True,True
Jennifer Perez,18,ADAMANTINA,SP,59999876447,67315158075059,True,True
Kimberly Berry,50,ABREULÂNDIA,TO,86157181648,67528221852023,True,True
Micheal Rhodes,64,ACRELÂNDIA,AC,01027123015,01567761068587,True,True
Maria Holt,23,ÁGUA BRANCA,AL,44011869902,76858860759935,True,True
Sara Lopez,87,ALVARÃES,AM,08215363628,06841435616413,True,True
Max Velasquez,21,SERRA DO NAVIO,AP,82095280172,94975675983705,True,True
Dawn Mcdonald,81,ABAÍRA,BA,05938215994,20546307325236,True,True
Brittany Brown,53,ABAIARA,CE,31627419713,55228737706506,True,True
Patricia Meyer Md,31,BRASÍLIA,DF,43243581338,68879919276985,True,True
David Ray,37,AFONSO CLÁUDIO,ES,29800343555,73864442851427,True,True
Anthony Gross,39,ABADIA DE GOIÁS,GO,96562118476,46241882129385,True,True
Brittany Valencia,67,AÇAILÂNDIA,MA,28914778045,10142766881853,True,True
Logan Powell,60,ABADIA DOS DOURADOS,MG,79208533204,80572131619808,True,True
Andrew Mckinney,44,ÁGUA CLARA,MS,12452990698,05750437593809,True,True
Leroy Murphy,70,ACORIZAL,MT,33613085690,14759051804990,True,True
Kevin Burton,58,ABAETETUBA,PA,98943583656,90281213128519,True,True
Gregory Hayes,58,ÁGUA BRANCA,PB,17490517290,31171027002548,True,True
Jose Campbell,53,ABREU E LIMA,PE,18078365330,80533226507844,True,True
Jeremy Decker,28,ACAUÃ,PI,15095314240,44638202708603,True,True
Jenny Perez,75,ABATIÁ,PR,57306797425,05479656870807,True,True
Billy Rodriguez,85,ANGRA DOS REIS,RJ,15845046254,45458605325033,True,True
Aaron Hamilton,73,ACARI,RN,10688335993,96004515083166,True,True
Kathryn Bullock,51,ALTA FLORESTA D'OESTE,RO,43297123931,94922644081407,True,True
Rebecca Rowe,51,AMAJARI,RR,49114313421,10272842504030,True,True
Kenneth Elliott,66,ACEGUÁ,RS,30165654554,94604763578359,True,True
David Hughes,63,ABDON BATISTA,SC,52734128381,58501967514246,True,True
Jason Rose,49,AMPARO DE SÃO FRANCISCO,SE,79161800570,81720719081859,True,True
Donald Paul,50,ADAMANTINA,SP,37156750399,43457897571340,True,True
Dawn Smith,26,ABREULÂNDIA,TO,99591451237,87072454946483,True,True
Peter Munoz,49,ACRELÂNDIA,AC,53949179224,12276654408988,True,True
Mrs. Yesenia Barrett,88,ÁGUA BRANCA,AL,74610210525,50800865697977,True,True
Paul Thomas,88,ALVARÃES,AM,23560148880,69485546986030,True,True
Dr. Jennifer Williams,36,SERRA DO NAVIO,AP,44331026108,48607469045482,True,True
Darlene Wagner,69,ABAÍRA,BA,59392936893,11025510922525,True,True
Hannah Snyder,40,ABAIARA,CE,53907880102,13540261869460,True,True
Christopher Young,38,BRASÍLIA,DF,24594975984,71848458367870,True,True
Tracy Dixon,25,AFONSO CLÁUDIO,ES,27102355440,39877727099541,True,True
Kathy Le,87,ABADIA DE GOIÁS,GO,29372127515,76533194657615,True,True
Keith Luna,68,AÇAILÂNDIA,MA,80907706819,27585581694200,True,True
Shannon Sweeney,77,ABADIA DOS DOURADOS,MG,64159559697,97541235412315,True,True
Elizabeth Bell,59,ÁGUA CLARA,MS,86267356345,66053445574233,True,True
Heidi Bradley,25,ACORIZAL,MT,56729505400,18466160426096,True,True
Terry Reed,61,ABAETETUBA,PA,51608865401,27132745372467,True,True
Diane Hernandez,41,ÁGUA BRANCA,PB,48111470576,40787478716700,True,True
Rachel Warren,33,ABREU E LIMA,PE,23376857210,29002233200112,True,True
Maria Williams,42,ACAUÃ,PI,01992242186,41141212436110,True,True
Anne Miller,77,ABATIÁ,PR,17120157701,77621947090119,True,True
Jennifer Lewis,22,ANGRA DOS REIS,RJ,78325186267,43532550380560,True,True
Michael Wright,43,ACARI,RN,30197762875,14820218734400,True,True
Brianna Robertson,53,ALTA FLORESTA D'OESTE,RO,89303268970,16406257442520,True,True
Melanie Robles,21,AMAJARI,RR,73948798010,95310373128058,True,True
Angela Williams,73,ACEGUÁ,RS,20273841890,30637559535113,True,True
Derek Young,21,ABDON BATISTA,SC,65502725219,66113865011107,True,True
Blake Cunningham,45,AMPARO DE SÃO FRANCISCO,SE,26809028587,61408220409971,True,True
Kelly Adams,44,ADAMANTINA,SP,86807627092,28686902548318,True,True
Deborah Thomas,69,ABREULÂNDIA,TO,84534791607,37602155361550,True,True
Crystal Trevino,66,ACRELÂNDIA,AC,09108571996,28098660785980,True,True
Denise West,44,ÁGUA BRANCA,AL,82636980148,20396929563240,True,True
Connie King,65,ALVARÃES,AM,88810344413,62060107406561,True,True
Andrew Alvarez,90,SERRA DO NAVIO,AP,20842441964,92817873519520,True,True
Michael Lewis,73,ABAÍRA,BA,00891731806,76409412012409,True,True
Sonia Alvarado,42,ABAIARA,CE,21276936478,93726855515266,True,True
Elizabeth Miller,79,BRASÍLIA,DF,72350990036,41178451869687,True,True
Marc Cook,72,AFONSO CLÁUDIO,ES,44359336403,31571856880272,True,True
Patricia Mendoza,51,ABADIA DE GOIÁS,GO,62029146889,20732732058505,True,True
Michael Garcia,23,AÇAILÂNDIA,MA,64633032240,41439568362343,True,True
Mr. Jesse Fletcher,21,ABADIA DOS DOURADOS,MG,81282149008,48249914729001,True,True
Kyle Mora,63,ÁGUA CLARA,MS,00614722047,29653942966322,True,True
Leah Garcia,44,ACORIZAL,MT,16103865077,36497348564044,True,True
Anna Harrison,73,ABAETETUBA,PA,78361187898,86839992732692,True,True
Alexander Hodges,89,ÁGUA BRANCA,PB,99647012764,95097510088121,True,True
Anita Hernandez,30,ABREU E LIMA,PE,77322953584,10132381555681,True,True
Elizabeth Sims,88,ACAUÃ,PI,87840476740,29335557552958,True,True
David Clark,80,ABATIÁ,PR,83791685422,51219853830691,True,True
Nicole Lewis,87,ANGRA DOS REIS,RJ,16921102840,17303237697749,True,True
Angela Zamora,30,ACARI,RN,07417379907,38400146863308,True,True
David Flores,28,ALTA FLORESTA D'OESTE,RO,96029631900,16724741990112,True,True
Kent Andrews,35,AMAJARI,RR,70884125513,97138536375774,True,True
Patricia Martinez,24,ACEGUÁ,RS,96758923827,96521677622226,True,True
Meghan Morrison,42,ABDON BATISTA,SC,47591143786,14217451447844,True,True
Annette Herrera,43,AMPARO DE SÃO FRANCISCO,SE,92247570062,96306007257904,True,True
Barbara Leon Md,73,ADAMANTINA,SP,05086323231,98992168836002,True,True
Justin Andersen,30,ABREULÂNDIA,TO,34245687088,26866823178760,True,True
Wesley Lee,28,ACRELÂNDIA,AC,79111554452,34205707583747,True,True
Jonathan Anderson,62,ÁGUA BRANCA,AL,14567033906,25564852664057,True,True
Kathy Bowman,82,ALVARÃES,AM,22382453672,38323943041584,True,True
Leah King,82,SERRA DO NAVIO,AP,57425502518,10007906232807,True,True
Nicholas Johnson,70,ABAÍRA,BA,18410328674,32981852682342,True,True
Matthew Fields,77,ABAIARA,CE,82777457883,50160746531098,True,True
Thomas Smith,63,BRASÍLIA,DF,16023528449,92512736753777,True,True
Sara James,40,AFONSO CLÁUDIO,ES,65550822598,35281439947766,True,True
Keith Robinson,80,ABADIA DE GOIÁS,GO,39214566143,66501166914304,True,True
Andrew Wood,86,AÇAILÂNDIA,MA,43987115629,32050721294848,True,True
Gordon Stephens,30,ABADIA DOS DOURADOS,MG,82547425610,36913960886848,True,True
Amy Davis,62,ÁGUA CLARA,MS,29745132470,64947184518795,True,True
Kristin Mcdaniel,79,ACORIZAL,MT,82761811208,64709072009818,True,True
Julie Thompson,57,ABAETETUBA,PA,53030519783,67505872613516,True,True
Steven Ramos,66,ÁGUA BRANCA,PB,36310656473,80984026508456,True,True
Allison Mueller,29,ABREU E LIMA,PE,28020391134,58190936196414,True,True
Donna Zimmerman,56,ACAUÃ,PI,15689286885,95164540498786,True,True
Kayla Curtis,78,ABATIÁ,PR,82852548011,95366516900234,True,True
Gary Pineda,42,ANGRA DOS REIS,RJ,12458789722,38287874622145,True,True
Lisa Baxter,24,ACARI,RN,68379697650,65357433374222,True,True
Michelle Wilson,27,ALTA FLORESTA D'OESTE,RO,27377207027,33963172192000,True,True
Pamela Black,55,AMAJARI,RR,54283791466,08157026681165,True,True
Michael Boyd,41,ACEGUÁ,RS,31063350093,27199674682605,True,True
Carolyn Taylor,62,ABDON BATISTA,SC,54042845525,89986256634645,True,True
Nathan Floyd,76,AMPARO DE SÃO FRANCISCO,SE,11772208140,92625646258864,True,True
Stephen Torres,48,ADAMANTINA,SP,92254599470,51006075009924,True,True
Emily Wilson,86,ABREULÂNDIA,TO,57057488769,96720214047760,True,True
Amanda Hobbs,80,ACRELÂNDIA,AC,05055277580,54492254062557,True,True
Randy Bailey,32,ÁGUA BRANCA,AL,53066383415,40303858573425,True,True
Heather Mccarthy,42,ALVARÃES,AM,61865290700,86838303214241,True,True
William Davis,82,SERRA DO NAVIO,AP,28870789330,03081296955933,True,True
Devin Morris,38,ABAÍRA,BA,19435641679,76472727172260,True,True
Jenna White,32,ABAIARA,CE,72407555252,40260403080600,True,True
Kimberly Sherman,77,BRASÍLIA,DF,73212451955,02500244436617,True,True
David Mitchell,36,AFONSO CLÁUDIO,ES,72992871702,02121349200971,True,True
Victoria Sweeney,30,ABADIA DE GOIÁS,GO,75146548013,75527460849622,True,True
Patrick Johnson,72,AÇAILÂNDIA,MA,75069665227,80060366416537,True,True
Kevin Miller,33,ABADIA DOS DOURADOS,MG,27921075533,87627534085606,True,True
Lauren Morrison,76,ÁGUA CLARA,MS,25053233136,33874640779675,True,True
Bridget Jones,37,ACORIZAL,MT,52210218977,69774398704001,True,True
Joseph Rios,63,ABAETETUBA,PA,73693717605,84169834445400,True,True
Julie Walls,49,ÁGUA BRANCA,PB,28426029353,17121235479235,True,True
John Martinez,55,ABREU E LIMA,PE,24865138099,38279342891493,True,True
David Martinez,25,ACAUÃ,PI,60533839378,84780241685002,True,True
Seth Shea,87,ABATIÁ,PR,08800362907,49405163953922,True,True
Jaclyn Daniels,57,ANGRA DOS REIS,RJ,67643003050,46293293704892,True,True
Darrell Smith,80,ACARI,RN,99103515524,25226377457801,True,True
Joseph Williams,23,ALTA FLORESTA D'OESTE,RO,67827753604,89386233730232,True,True
Michelle Schmidt,40,AMAJARI,RR,02584310759,31364364069621,True,True
Christopher Crane,63,ACEGUÁ,RS,53198067014,14409710614409,True,True
Melody Arnold,28,ABDON BATISTA,SC,99587407024,70289857870560,True,True
Frank Miller,35,AMPARO DE SÃO FRANCISCO,SE,21086642708,05601484952360,True,True
Kelli Poole,22,ADAMANTINA,SP,34228364209,97538603622850,True,True
Brian Grant,40,ABREULÂNDIA,TO,25926134390,89905193753905,True,True
Alan Juarez,81,ACRELÂNDIA,AC,24323027451,06116849575430,True,True
